dezena,ocorrencias,dezena_int
01,285,1
02,294,2
03,272,3
04,311,4
05,320,5
06,292,6
07,275,7
08,291,8
09,280,9
10,343,10
11,310,11
12,279,12
13,303,13
14,287,14
15,262,15
16,305,16
17,311,17
18,281,18
19,287,19
20,287,20
21,244,21
22,263,22
23,307,23
24,294,24
25,293,25
26,243,26
27,311,27
28,303,28
29,294,29
30,311,30
31,273,31
32,312,32
33,315,33
34,320,34
35,310,35
36,299,36
37,317,37
38,315,38
39,281,39
40,278,40
41,305,41
42,309,42
43,308,43
44,308,44
45,287,45
46,309,46
47,280,47
48,275,48
49,297,49
50,289,50
51,300,51
52,297,52
53,335,53
54,307,54
55,255,55
56,310,56
57,283,57
58,280,58
59,284,59
60,282,60
