concurso,data,municipio,uf
2943,25/11/2025,CANAL ELETRONICO,--
2940,14/11/2025,PORTO ALEGRE,RS
2932,25/10/2025,OURINHOS,SP
2924,07/10/2025,NOVA LIMA,MG
2920,27/09/2025,PORTO ALEGRE,RS
2913,11/09/2025,TERESOPOLIS,RJ
2906,26/08/2025,CANAL ELETRONICO,--
2903,19/08/2025,CAXIAS,MA
2897,05/08/2025,BARRA DE SAO FRANCISCO,ES
2888,15/07/2025,CANAL ELETRONICO,--
2882,01/07/2025,GOIANIA,GO
2878,21/06/2025,MATOZINHOS,MG
2866,22/05/2025,SAO PAULO,SP
2865,20/05/2025,GOIANIA,GO
2865,20/05/2025,CARAGUATATUBA,SP
2855,24/04/2025,BALNEARIO GAIVOTA,SC
2854,19/04/2025,CONCORDIA,SC
2849,05/04/2025,CRUZEIRO,SP
2840,15/03/2025,BELO HORIZONTE,MG
2838,11/03/2025,CANAL ELETRONICO,--
2838,11/03/2025,ITAPIRA,SP
2835,01/03/2025,CANAL ELETRONICO,--
2833,25/02/2025,RIO DE JANEIRO,RJ
2820,25/01/2025,NOVA FRIBURGO,RJ
2816,16/01/2025,INDAIATUBA,SP
2810,31/12/2024,BRASILIA,DF
2810,31/12/2024,NOVA LIMA,MG
2810,31/12/2024,CURITIBA,PR
2810,31/12/2024,PINHAIS,PR
2810,31/12/2024,OSASCO,SP
2810,31/12/2024,TUPA,SP
2805,07/12/2024,CANAL ELETRONICO,--
2803,03/12/2024,ARARAS,SP
2795,09/11/2024,CUIABA,MT
2783,05/10/2024,CANAL ELETRONICO,--
2775,17/09/2024,TIMBAUBA,PE
2766,24/08/2024,CANAL ELETRONICO,--
2766,24/08/2024,RIO DE JANEIRO,RJ
2764,20/08/2024,VARZEA PAULISTA,SP
2755,30/07/2024,CANAL ELETRONICO,--
2755,30/07/2024,IPATINGA,MG
2755,30/07/2024,VARGINHA,MG
2745,04/07/2024,RIO DE JANEIRO,RJ
2745,04/07/2024,GARIBALDI,RS
2745,04/07/2024,PLANALTO,RS
2734,08/06/2024,PONTA GROSSA,PR
2723,11/05/2024,FUNDAO,ES
2717,25/04/2024,CANAL ELETRONICO,--
2715,20/04/2024,RIO DE JANEIRO,RJ
2705,26/03/2024,RECIFE,PE
2696,05/03/2024,GOIANIA,GO
2684,03/02/2024,BRASILIA,DF
2672,06/01/2024,RIO DE JANEIRO,RJ
2670,31/12/2023,CANAL ELETRONICO,--
2670,31/12/2023,SALVADOR,BA
2670,31/12/2023,BOM DESPACHO,MG
2670,31/12/2023,REDENCAO,PA
2670,31/12/2023,IPIRA,SC
2666,09/12/2023,MARIANA,MG
2662,30/11/2023,CANAL ELETRONICO,--
2658,21/11/2023,ARACRUZ,ES
2654,09/11/2023,FLORIANOPOLIS,SC
2651,01/11/2023,GOIANIA,GO
2641,05/10/2023,CANAL ELETRONICO,--
2636,23/09/2023,LUCAS DO RIO VERDE,MT
2630,09/09/2023,SANTA LUZIA,MG
2622,19/08/2023,SAO FRANCISCO DO CONDE,BA
2621,16/08/2023,CANAL ELETRONICO,--
2621,16/08/2023,JUAZEIRO,BA
2620,12/08/2023,CANAL ELETRONICO,--
2620,12/08/2023,UBERABA,MG
2620,12/08/2023,SINOP,MT
2614,25/07/2023,CANAL ELETRONICO,--
2614,25/07/2023,CONTAGEM,MG
2607,01/07/2023,BELEM,PA
2602,17/06/2023,CANAL ELETRONICO,--
2598,03/06/2023,RIO GRANDE DA SERRA,SP
2591,11/05/2023,ITANHANGA,MT
2587,29/04/2023,PEDRO LEOPOLDO,MG
2581,08/04/2023,SAO PAULO,SP
2578,29/03/2023,CANAL ELETRONICO,--
2578,29/03/2023,BETIM,MG
2570,04/03/2023,CANAL ELETRONICO,--
2567,23/02/2023,BRASILIA,DF
2565,16/02/2023,CAMPO GRANDE,MS
2565,16/02/2023,BELEM,PA
2565,16/02/2023,PARANAGUA,PR
2562,08/02/2023,PIRACICABA,SP
2562,08/02/2023,SAO PAULO,SP
2550,31/12/2022,CANAL ELETRONICO,--
2550,31/12/2022,FLORESTAL,MG
2550,31/12/2022,ARROIO DO SAL,RS
2550,31/12/2022,SANTOS,SP
2550,31/12/2022,SAO JOSE DA BELA VISTA,SP
2548,14/12/2022,CANAL ELETRONICO,--
2537,09/11/2022,GUARUJA,SP
2534,29/10/2022,SAO PAULO,SP
2525,01/10/2022,CANAL ELETRONICO,--
2525,01/10/2022,FERNANDOPOLIS,SP
2510,13/08/2022,CANAL ELETRONICO,--
2510,13/08/2022,MORRETES,PR
2510,13/08/2022,DUQUE DE CAXIAS,RJ
2510,13/08/2022,BARUERI,SP
2507,04/08/2022,MOSSORO,RN
2505,30/07/2022,CACAPAVA DO SUL,RS
2503,23/07/2022,CANAL ELETRONICO,--
2500,13/07/2022,DOURADOS,MS
2498,06/07/2022,BLUMENAU,SC
2494,25/06/2022,DIADEMA,SP
2487,02/06/2022,RIO DE JANEIRO,RJ
2486,31/05/2022,BLUMENAU,SC
2479,07/05/2022,VASSOURAS,RJ
2478,04/05/2022,HERVAL D'OESTE,SC
2472,16/04/2022,GUARULHOS,SP
2468,02/04/2022,SANTOS,SP
2464,19/03/2022,CANAL ELETRONICO,--
2464,19/03/2022,MONGAGUA,SP
2451,05/02/2022,BELO HORIZONTE,MG
2449,29/01/2022,BLUMENAU,SC
2443,12/01/2022,CANAL ELETRONICO,--
2443,12/01/2022,URUCANIA,MG
2440,31/12/2021,CABO FRIO,RJ
2440,31/12/2021,CAMPINAS,SP
2438,15/12/2021,CANAL ELETRONICO,--
2436,09/12/2021,BARUERI,SP
2430,20/11/2021,UBERLANDIA,MG
2427,10/11/2021,CANAL ELETRONICO,--
2427,10/11/2021,ANGICAL,BA
2427,10/11/2021,GOIANIA,GO
2427,10/11/2021,BENEDITO LEITE,MA
2427,10/11/2021,BORBOREMA,SP
2419,16/10/2021,SANTOS,SP
2416,06/10/2021,BRASILIA,DF
2410,18/09/2021,CURITIBA,PR
